id,name,english_name,birth_year,death_year,role,parent_ids,children_ids,spouse,achievements,bio
1,约翰·戴维森·洛克菲勒,John Davison Rockefeller,1839,1937,家族创始人，标准石油公司创始人,[],"[2, 3, 4, 5, 6]",劳拉·斯佩尔曼·洛克菲勒 (Laura Spelman Rockefeller),创建标准石油公司，成为美国历史上第一位亿万富翁，建立洛克菲勒基金会,约翰·戴维森·洛克菲勒出生于纽约州里奇福德，他在石油业建立起了商业帝国，创办了标准石油公司。到19世纪末，他控制了美国90%以上的炼油业务。晚年致力于慈善事业。
2,伊丽莎白·洛克菲勒,Elizabeth Rockefeller,1866,1906,约翰·D·洛克菲勒长女,[1],[],Charles Augustus Strong,慈善家,伊丽莎白是约翰·D·洛克菲勒的长女，早年接受教育后投身慈善事业。
3,艾达·洛克菲勒,Alta Rockefeller,1871,1962,约翰·D·洛克菲勒次女,[1],[],Ezra Parmalee Prentice,慈善家,艾达是约翰·D·洛克菲勒的次女，她也积极参与家族的慈善事业。
4,约翰·戴维森·洛克菲勒二世,John Davison Rockefeller Jr.,1874,1960,约翰·D·洛克菲勒独子，家族事业继承人,[1],"[7, 8, 9, 10, 11, 12]",Abby Aldrich Rockefeller,扩大洛克菲勒基金会，资助联合国总部建设，建设洛克菲勒中心,小约翰·D·洛克菲勒在父亲的遗产基础上扩大了家族的慈善事业，他帮助建立了纽约的洛克菲勒中心，并对联合国总部的建设提供了资金支持。
5,埃迪丝·洛克菲勒,Edith Rockefeller,1872,1932,约翰·D·洛克菲勒三女,[1],[],Harold Fowler McCormick,慈善家，芝加哥歌剧院资助人,埃迪丝是洛克菲勒家族的一员，她嫁给了国际收割机公司(International Harvester)的继承人哈罗德·麦考密克。
6,威廉·洛克菲勒,William Rockefeller,1841,1922,约翰·D·洛克菲勒的弟弟，合作伙伴,[],[],Almira Geraldine Goodsell,与兄长共同创建标准石油公司,威廉·洛克菲勒是约翰·D·洛克菲勒的弟弟，他与兄长一起创建了标准石油公司，并在公司担任重要角色。
7,约翰·戴维森·洛克菲勒三世,John Davison Rockefeller III,1906,1978,约翰·D·洛克菲勒二世长子,[4],[],Blanchette Ferry Hooker,创建亚洲协会，人口理事会和林肯中心,约翰·D·洛克菲勒三世专注于艺术和慈善事业，他建立了林肯表演艺术中心，并创建了人口理事会。
8,纳尔逊·奥尔德里奇·洛克菲勒,Nelson Aldrich Rockefeller,1908,1979,政治家，纽约州州长，美国副总统,[4],[],"Mary Todhunter Clark, Margaretta Large Fitler",担任纽约州州长(1959-1973)，美国副总统(1974-1977),纳尔逊·洛克菲勒是美国著名政治家，曾四次当选纽约州州长，并担任福特政府的副总统。他也是一位著名的艺术收藏家。
9,劳伦斯·洛克菲勒,Laurance Rockefeller,1910,2004,风险投资家，环保主义者,[4],[],Mary French,环保主义先驱，创建多个国家公园，风险投资先驱,劳伦斯·洛克菲勒是一位风险投资家和环保主义者，他投资了许多科技企业，同时也致力于环境保护，帮助建立了多个国家公园。
10,温思罗普·洛克菲勒,Winthrop Rockefeller,1912,1973,政治家，阿肯色州州长,[4],[],"Jievute Paulekiute, Jeannette Edris",担任阿肯色州州长(1967-1971),温思罗普·洛克菲勒移居阿肯色州后成为当地政治领袖，他是该州第一位共和党州长，推动了该州的经济发展和民权改革。
11,戴维·洛克菲勒,David Rockefeller,1915,2017,银行家，大通曼哈顿银行董事长,[4],[],Margaret McGrath,担任大通曼哈顿银行董事长，建立三边委员会，国际活动家,戴维·洛克菲勒是洛克菲勒家族中最长寿的成员，他担任大通曼哈顿银行的董事长，积极参与国际政治和经济事务，创建了三边委员会。
12,艾比·洛克菲勒·莫兹,Abby Rockefeller Mauzé,1903,1976,慈善家,[4],[],"David M. Milton, Jean Mauzé",活跃于慈善事业,艾比是约翰·D·洛克菲勒二世的长女，她活跃于家族的慈善事业中。
